1月1日,男女区別とは。
1月2日,渋滞解消するには。
1月3日,消費社会と日本のブランド
1月4日,髪の利用方法。ケラチン。
1月5日,空き家問題はどうする。
1月6日,自給率上げる。アボカド農家。
1月7日,高齢結婚の方法。
1月8日,パチンコ屋を無くすには。
1月9日,人材育成の方法。優秀な人材とは。
1月10日,マスクを取る方法。
1月11日,CO2を減らすには。自家用車。
1月12日,席を譲る方法。
1月13日,日本の伝統が継承するには。
1月14日,病院のシステム高度化。
1月15日,看板を有効に使うには。
1月16日,50肩を治す。
1月17日,音楽の力を使うには。
1月18日,東京と地方の関係。
1月19日,スーツケースを運ぶ方法。AIで自動
1月20日,スマホ依存症を治すには。もっと面白うものがあればいい
1月21日,減反は何故必要なのか
1月22日,オレオレ詐欺を防ぐには。
1月23日,商店街を盛り上げるには、何が邪魔か。
1月24日,論文を増やすには。
1月25日,1割省エネするには。
1月26日,職場環境を良くするには。
1月27日,睡眠を改善するには。
1月28日,若者をくっつけるには。
1月29日,ガス代を下げるには。
1月30日,フライトを快適にするには。
1月31日,日本人が海外でも負けない方法。
2月1日,落とし物を探す方法。
2月2日,闇社会のお金をなくすには。
2月3日,介護の病院をどうするのか。
2月4日,時差問題を解決するには。
2月5日,映画館を立て直すには。
2月6日,奨学金を良くするには。
2月7日,緊急援助チームを派遣するには。
2月8日,人との衝突を回避するには。
2月9日,老朽インフラを修繕するには。
2月10日,暴力団を正常化するには。
2月11日,お墓問題を解決するには。
2月12日,大人が大人と遊ぶには。
2月13日,どうしても反対する人がいる場合には。
2月14日,AIに勝つには。
2月15日,危機管理能力を高めるには。
2月16日,人を笑わせるには。
2月17日,マイナンバーを普及させるには。
2月18日,幸福度を上げるには。
2月19日,量子コンピュータ戦争で勝つためには。
2月20日,時給を上げるには。
2月21日,多様性を認める社会を止めるには。
2月22日,AIで世の中を良くするには。
2月23日,米粉を使うには。
2月24日,桜を増殖するには。
2月25日,老老介護を助けるには。
2月26日,漁獲量を復活するには。
2月27日,海底資源を取るには。
2月28日,労働を楽しむには。
3月1日,電車の通勤を快適にするには。
3月2日,愉快な人を増やすには。
3月3日,戦争体験を継承するには。
3月4日,バブリーな人を増やすには。
3月5日,就職先を決める方法は。
3月6日,奨学金問題を解決するには。
